Age,City,Current Status,Do you own multiple profiles on Instagram?,Gender,Highest Education,Location (City Airport Code),Phone OS,State,Zone,"How many followers do you have on Instagram? (In case of multiple accounts, please mention the one with the maximum)",How many posts do you have on Instagram?,Latitude,Longitude,Time Spent on Facebook in last week (in minutes),Time Spent on Facebook in last weekend (in minutes),Time Spent on Instagram in last week (in minutes),Time Spent on Instagram in last weekend (in minutes),Time Spent on WhatsApp in last week (in minutes),Time Spent on WhatsApp in last weekend (in minutes),Total Facebook Usage,Total Instagram Usage,Total Social Media Usage,Total Week Usage,Total Weekend Usage,Total WhatsApp Usage
27,Bengaluru,Working professional,No,Male,Graduation,BLR,Android,Karnataka,Southern,27,0,12.977063,77.587106,600,840,0,0,"1,500",360,"1,440",0,"3,300","2,100","1,200","1,860"
45,Delhi,Working professional,No,Female,Graduation,DEL,iOs,Delhi,Northern,0,0,28.651952,77.231495,500,800,"1,500",700,"1,000",600,"1,300","2,200","5,100","3,000","2,100","1,600"
22,Delhi,Sabbatical,Yes,Male,Post graduation,DEL,iOs,Delhi,Northern,89,56,28.651952,77.231495,"1,400",800,"1,200",700,"1,500",500,"2,200","1,900","6,100","4,100","2,000","2,000"
21,Delhi,Working professional,No,Female,Graduation,DEL,Android,Delhi,Northern,514,38,28.651952,77.231495,420,780,180,600,600,720,"1,200",780,"3,300","1,200","2,100","1,320"
26,Agra,Working professional,No,Male,Graduation,AGR,Android,Uttar Pradesh,Northern,344,25,27.187935,78.003944,221,732,293,453,286,387,953,746,"2,372",800,"1,572",673
26,Delhi,Working professional,No,Female,Post graduation,DEL,Android,Delhi,Northern,762,54,28.651952,77.231495,300,720,270,360,750,600,"1,020",630,"3,000","1,320","1,680","1,350"
25,Ahmedabad,Student,No,Male,Graduation,AMD,Android,Gujarat,Western,447,82,23.025793,72.587265,60,700,300,"1,400",600,60,760,"1,700","3,120",960,"2,160",660
18,Jaipur,Student,No,Male,High School,JAI,iOs,Rajasthan,Northern,361,69,26.913312,75.787872,588,681,700,365,"1,700",233,"1,269","1,065","4,267","2,988","1,279","1,933"
25,Mumbai,Sabbatical,No,Female,Post graduation,BOM,Android,Maharashtra,Western,210,98,18.987807,72.836447,992,663,"1,263",445,"1,789",560,"1,655","1,708","5,712","4,044","1,668","2,349"
24,Cooch-behar,Working professional,No,Male,Graduation,COH,Android,West Bengal,Eastern,56,2,26.3452,89.4482,459,657,230,458,678,567,"1,116",688,"3,049","1,367","1,682","1,245"
22,Kolkata,Student,No,Female,Post graduation,CCU,Android,West Bengal,Eastern,487,42,22.562627,88.363044,600,600,"1,200","1,200","1,200","1,200","1,200","2,400","6,000","3,000","3,000","2,400"
26,Kolkata,Student,No,Female,Post graduation,CCU,Android,West Bengal,Eastern,487,42,22.562627,88.363044,600,600,"1,200","1,200","1,200","1,200","1,200","2,400","6,000","3,000","3,000","2,400"
25,Ahmedabad,Self Employed,Yes,Male,Graduation,AMD,Android,Gujarat,Western,460,210,23.025793,72.587265,240,600,720,900,300,720,840,"1,620","3,480","1,260","2,220","1,020"
35,Delhi,Working professional,Yes,Female,High School,DEL,Android,Delhi,Northern,65,67,28.651952,77.231495,500,600,800,500,700,120,"1,100","1,300","3,220","2,000","1,220",820
23,Delhi,Student,No,Female,High School,DEL,Android,Delhi,Northern,78,1,28.651952,77.231495,500,600,600,70,700,60,"1,100",670,"2,530","1,800",730,760
50,Kolkata,Working professional,No,Female,High School,CCU,Android,West Bengal,Eastern,678,129,22.562627,88.363044,963,587,456,156,785,356,"1,550",612,"3,303","2,204","1,099","1,141"
17,Mumbai,Student,Yes,Male,High School,BOM,Android,Maharashtra,Western,579,75,18.987807,72.836447,564,560,"5,890","2,350","4,000","1,560","1,124","8,240","14,924","10,454","4,470","5,560"
23,Kolkata,Student,Yes,Female,Graduation,CCU,Android,West Bengal,Eastern,"3,600",89,22.562627,88.363044,400,500,"3,000","1,000","3,000","1,000",900,"4,000","8,900","6,400","2,500","4,000"
22,Ahmedabad,Student,No,Male,Graduation,AMD,Android,Gujarat,Western,249,38,23.025793,72.587265,"1,000",500,"1,000",300,"1,500",500,"1,500","1,300","4,800","3,500","1,300","2,000"
32,Bengaluru,Working professional,No,Male,Graduation,BLR,Android,Karnataka,Southern,962,74,12.977063,77.587106,500,500,300,120,600,180,"1,000",420,"2,200","1,400",800,780
26,Kanpur,Working professional,Yes,Male,Graduation,KNU,Android,UTTAR PRADESH,Northern,301,9,26.449923,80.3318736,350,500,400,120,500,180,850,520,"2,050","1,250",800,680
27,Chennai,Working professional,No,Male,Post graduation,MAA,Android,Tamil Nadu,Southern,542,69,13.084622,80.248357,600,480,"2,400",840,"1,500",720,"1,080","3,240","6,540","4,500","2,040","2,220"
23,Chennai,Student,No,Female,Graduation,MAA,Android,Tamil Nadu,Southern,244,12,13.084622,80.248357,"1,800",480,"1,800",720,600,360,"2,280","2,520","5,760","4,200","1,560",960
22,Chennai,Student,Yes,Female,Graduation,MAA,iOs,Tamil Nadu,Southern,342,27,13.084622,80.248357,300,480,600,600,600,480,780,"1,200","3,060","1,500","1,560","1,080"
23,Guwahati,Student,No,Female,Graduation,GAU,iOs,Assam,North-Eastern,200,6,26.176076,91.762932,600,480,420,480,840,480,"1,080",900,"3,300","1,860","1,440","1,320"
32,Bengaluru,Working professional,No,Female,Post graduation,BLR,Android,Karnataka,Southern,453,38,12.977063,77.587106,300,480,600,360,"2,400",840,780,960,"4,980","3,300","1,680","3,240"
24,Pune,Working professional,No,Female,Graduation,PNQ,Android,Maharashtra,Western,0,0,18.513271,73.849852,"1,200",480,0,0,980,360,"1,680",0,"3,020","2,180",840,"1,340"
21,Chennai,Student,No,Female,Graduation,MAA,Android,Tamil Nadu,Southern,"3,946",274,13.084622,80.248357,301,469,782,723,"1,912",871,770,"1,505","5,058","2,995","2,063","2,783"
29,Guwahati,Sabbatical,No,Female,Post graduation,GAU,Android,Assam,North-Eastern,150,20,26.176076,91.762932,420,420,220,220,"1,050","1,050",840,440,"3,380","1,690","1,690","2,100"
25,Kolkata,Working professional,No,Male,Graduation,CCU,Android,West Bengal,Eastern,614,160,22.562627,88.363044,823,419,539,302,"1,035",396,"1,242",841,"3,514","2,397","1,117","1,431"
45,Bagdogra,Working professional,Yes,Female,Graduation,IXB,iOs,West Bengal,Eastern,715,243,26.6986,88.3117,247,413,561,562,427,431,660,"1,123","2,641","1,235","1,406",858
38,Bengaluru,Working professional,No,Female,Graduation,BLR,Android,Karnataka,Southern,126,258,12.977063,77.587106,"1,200",400,800,500,900,200,"1,600","1,300","4,000","2,900","1,100","1,100"
27,Hyderabad,Sabbatical,No,Male,Graduation,HYD,Android,Telangana,Southern,250,26,17.384052,78.456355,300,400,250,300,800,400,700,550,"2,450","1,350","1,100","1,200"
25,Kolkata,Student,No,Male,Post graduation,CCU,Android,West Bengal,Eastern,272,8,22.562627,88.363044,900,400,120,30,600,120,"1,300",150,"2,170","1,620",550,720
47,Coimbatore,Sabbatical,No,Male,Post graduation,CJB,Android,Tamil Nadu,Southern,180,2,11.005547,76.966122,"5,400",400,100,20,"1,700",400,"5,800",120,"8,020","7,200",820,"2,100"
25,Bengaluru,Working professional,No,Female,Graduation,BLR,Android,Karnataka,Southern,0,0,12.977063,77.587106,"1,400",400,0,0,800,200,"1,800",0,"2,800","2,200",600,"1,000"
45,Kolkata,Working professional,No,Female,Graduation,CCU,Android,West Bengal,Eastern,5,0,22.562627,88.363044,855,398,0,0,735,412,"1,253",0,"2,400","1,590",810,"1,147"
28,Kolkata,Sabbatical,No,Female,Graduation,ccu,iOs,West Bengal,Eastern,239,11,22.562627,88.363044,300,390,390,400,"3,500",100,690,790,"5,080","4,190",890,"3,600"
24,Kolkata,Student,Yes,Male,Post graduation,CCU,Android,West Bengal,Eastern,746,156,22.562627,88.363044,823,372,821,390,"1,502",479,"1,195","1,211","4,387","3,146","1,241","1,981"
21,Chennai,Student,Yes,Female,Graduation,MAA,iOs,Tamil Nadu,Southern,"1,372",394,13.084622,80.248357,600,360,"1,800",720,"1,800",600,960,"2,520","5,880","4,200","1,680","2,400"
35,Chennai,Working professional,Yes,Male,Post graduation,MAA,iOs,Tamil Nadu,Southern,307,40,13.084622,80.248357,900,360,"1,500",720,"3,300",480,"1,260","2,220","7,260","5,700","1,560","3,780"
21,Mumbai,Sabbatical,Yes,Female,Graduation,BOM,Android,Maharashtra,Western,"2,447",245,18.987807,72.836447,460,360,"1,830",640,940,390,820,"2,470","4,620","3,230","1,390","1,330"
16,Kolkata,Student,No,Male,High School,CCU,Android,West Bengal,Eastern,289,23,22.562627,88.363044,"1,450",360,760,120,"1,240",240,"1,810",880,"4,170","3,450",720,"1,480"
51,Ahmedabad,Working professional,No,Male,Post graduation,AMD,iOs,Gujarat,Western,45,2,23.025793,72.587265,450,360,0,0,"1,550",845,810,0,"3,205","2,000","1,205","2,395"
30,Kolkata,Working professional,Yes,Male,Post graduation,CCU,Android,West Bengal,Eastern,219,0,22.562627,88.363044,480,360,240,0,120,0,840,240,"1,200",840,360,120
55,Bagdogra,Working professional,No,Male,Post graduation,IXB,Android,West Bengal,Eastern,0,0,26.6986,88.3117,"1,029",359,0,0,193,189,"1,388",0,"1,770","1,222",548,382
31,Delhi,Sabbatical,No,Female,Post graduation,DEL,Android,Delhi,Northern,600,29,28.651952,77.231495,"1,266",358,174,52,560,178,"1,624",226,"2,588","2,000",588,738
23,Kolkata,Student,No,Female,Post graduation,CCU,Android,West Bengal,Eastern,325,28,22.562627,88.363044,140,356,392,578,752,678,496,970,"2,896","1,284","1,612","1,430"
22,Mumbai,Sabbatical,No,Male,Graduation,BOM,Android,Maharashtra,Western,320,222,18.987807,72.836447,350,350,"1,285",465,860,287,700,"1,750","3,597","2,495","1,102","1,147"
37,Lucknow,Sabbatical,No,Female,Post graduation,LKO,Android,Uttar Pradesh,Northern,104,2,26.839281,80.923133,890,350,105,40,855,295,"1,240",145,"2,535","1,850",685,"1,150"
57,Delhi,Sabbatical,Yes,Male,Post graduation,DEL,Android,Delhi,Northern,"2,780",287,28.651952,77.231495,875,347,"1,552",538,"2,760",765,"1,222","2,090","6,837","5,187","1,650","3,525"
52,Delhi,Working professional,No,Male,Post graduation,DEL,Android,Delhi,Northern,0,0,28.651952,77.231495,734,346,0,0,"2,468",803,"1,080",0,"4,351","3,202","1,149","3,271"
27,Kolkata,Student,No,Male,Post graduation,CCU,iOs,West Bengal,Eastern,698,109,22.562627,88.363044,667,338,621,421,788,359,"1,005","1,042","3,194","2,076","1,118","1,147"
24,Mumbai,Student,No,Male,Post graduation,BOM,Android,Maharashtra,Western,276,49,18.987807,72.836447,423,326,"1,180",243,"3,667",828,749,"1,423","6,667","5,270","1,397","4,495"
35,Delhi,Working professional,No,Male,Post graduation,DEL,Android,Delhi,Northern,524,148,28.651952,77.231495,558,323,728,665,"1,155",872,881,"1,393","4,301","2,441","1,860","2,027"
25,Baroda,Working professional,No,Female,Post graduation,BDQ,iOs,Gujarat,Western,816,500,22.3072,73.1812,422,314,415,97,645,266,736,512,"2,159","1,482",677,911
29,Mumbai,Sabbatical,No,Female,Post graduation,BOM,Android,Maharashtra,Western,0,0,18.987807,72.836447,532,313,0,0,520,246,845,0,"1,611","1,052",559,766
27,Baroda,Working professional,No,Male,Graduation,BDQ,Android,Gujarat,Western,465,351,22.3072,73.1812,598,312,356,150,589,348,910,506,"2,353","1,543",810,937
28,Delhi,Working professional,No,Male,Post graduation,DEL,iOs,Delhi,Northern,133,22,28.651952,77.231495,400,310,450,320,420,330,710,770,"2,230","1,270",960,750
38,Mumbai,Working professional,No,Male,Post graduation,BOM,Android,Maharashtra,Western,10,1,18.987807,72.836447,420,310,0,0,340,120,730,0,"1,190",760,430,460
22,Delhi,Student,No,Female,Graduation,DEL,Android,Delhi,Northern,"1,200",159,28.651952,77.231495,300,300,"1,500","1,800","1,500","1,800",600,"3,300","7,200","3,300","3,900","3,300"
22,Mumbai,Student,No,Male,Graduation,BOM,iOs,Maharashtra,Western,236,89,18.987807,72.836447,300,300,"1,500","1,500","1,500","1,800",600,"3,000","6,900","3,300","3,600","3,300"
35,Mumbai,Working professional,Yes,Female,Post graduation,BOM,Android,Maharashtra,Western,"1,500",106,18.987807,72.836447,300,300,900,900,"1,500","1,800",600,"1,800","5,700","2,700","3,000","3,300"
16,Jaipur,Student,No,Female,High School,JAI,Android,Rajasthan,Northern,853,146,26.913312,75.787872,300,300,"1,800",900,"1,500",900,600,"2,700","5,700","3,600","2,100","2,400"
15,Chennai,Student,Yes,Female,High School,MAA,iOs,Tamil Nadu,Southern,674,65,13.084622,80.248357,300,300,"3,000",800,"2,000","1,000",600,"3,800","7,400","5,300","2,100","3,000"
27,Vishakhapatnam,Sabbatical,No,Female,Post graduation,VTZ,Android,Andhra Pradesh,Southern,680,72,17.704052,83.297663,240,300,"3,000",600,"2,940",295,540,"3,600","7,375","6,180","1,195","3,235"
26,Ahmedabad,Working professional,No,Male,Graduation,AMD,iOs,Gujarat,Western,"5,501",631,23.025793,72.587265,700,300,"1,000",500,"2,200",800,"1,000","1,500","5,500","3,900","1,600","3,000"
21,Mumbai,Student,No,Female,Graduation,BOM,iOs,Maharashtra,Western,"4,689",69,18.987807,72.836447,500,300,"1,500",500,420,100,800,"2,000","3,320","2,420",900,520
23,Kolkata,Working professional,No,Male,Post graduation,CCU,iOs,West Bengal,Eastern,300,30,22.562627,88.363044,400,300,500,450,"5,600",560,700,950,"7,810","6,500","1,310","6,160"
22,Mumbai,Student,No,Female,Graduation,BOM,Android,Maharashtra,Western,478,53,18.987807,72.836447,"1,000",300,"1,500",450,600,200,"1,300","1,950","4,050","3,100",950,800
25,Vishakhapatnam,Sabbatical,Yes,Female,Post graduation,VTZ,iOs,Andhra Pradesh,Southern,"1,345",100,17.704052,83.297663,900,300,"1,320",420,360,90,"1,200","1,740","3,390","2,580",810,450
25,Delhi,Working professional,No,Male,Graduation,DEL,Android,Delhi,Northern,654,52,28.651952,77.231495,300,300,600,300,"1,500",900,600,900,"3,900","2,400","1,500","2,400"
23,Mumbai,Working professional,No,Male,Graduation,BOM,iOs,Maharashtra,Western,"4,500",97,18.987807,72.836447,"1,000",300,600,300,"4,500",500,"1,300",900,"7,200","6,100","1,100","5,000"
24,Jaipur,Working professional,No,Female,Graduation,JAI,Android,Rajasthan,Northern,540,12,26.913312,75.787872,300,300,900,300,900,300,600,"1,200","3,000","2,100",900,"1,200"
20,Hyderabad,Student,Yes,Male,High School,Hyd,Android,Telangana,Southern,405,20,17.384052,78.456355,900,300,840,300,420,240,"1,200","1,140","3,000","2,160",840,660
26,Nagpur,Working professional,No,Male,Graduation,NAG,iOs,MAHARASHTRA,Western,132,8,21.1458004,79.0881546,200,300,450,220,360,100,500,670,"1,630","1,010",620,460
36,Delhi,Sabbatical,No,Male,Post graduation,DEL,iOs,Delhi,Northern,85,7,28.651952,77.231495,150,300,250,200,"1,100",700,450,450,"2,700","1,500","1,200","1,800"
24,Delhi,Working professional,Yes,Female,Graduation,DEL,Android,Delhi,Northern,250,76,28.651952,77.231495,420,300,600,120,240,900,720,720,"2,580","1,260","1,320","1,140"
22,Ahmedabad,Student,Yes,Male,Graduation,AMD,Android,Gujarat,Western,64,3,23.025793,72.587265,600,300,200,100,"2,100",700,900,300,"4,000","2,900","1,100","2,800"
55,Delhi,Sabbatical,No,Male,Graduation,DEL,Android,Delhi,Northern,70,1,28.651952,77.231495,500,300,80,40,300,200,800,120,"1,420",880,540,500
24,Kolkata,Student,No,Male,Graduation,CCU,Android,West Bengal,Eastern,161,22,22.562627,88.363044,550,300,50,10,870,105,850,60,"1,885","1,470",415,975
55,Ranchi,Working professional,No,Female,Post graduation,IXR,iOs,Jharkhand,Eastern,35,0,23.347768,85.338564,525,300,20,5,300,350,825,25,"1,500",845,655,650
34,Kolkata,Working professional,No,Male,Post graduation,CCU,Android,West Bengal,Eastern,0,0,22.562627,88.363044,"1,000",300,0,0,"2,500",600,"1,300",0,"4,400","3,500",900,"3,100"
32,Pune,Working professional,No,Female,Graduation,PNQ,Android,Maharashtra,Western,0,0,18.513271,73.849852,500,300,0,0,650,300,800,0,"1,750","1,150",600,950
24,Varanasi,Working professional,No,Female,Graduation,VNS,Android,Uttar Pradesh,Northern,326,23,25.31774,83.005811,430,290,455,300,815,705,720,755,"2,995","1,700","1,295","1,520"
26,Delhi,Working professional,No,Male,Post graduation,DEL,iOs,Delhi,Northern,349,667,28.651952,77.231495,484,281,137,80,387,135,765,217,"1,504","1,008",496,522
16,Mumbai,Student,No,Male,High School,BOM,iOs,Maharashtra,Western,331,116,18.987807,72.836447,970,279,"1,210",484,570,95,"1,249","1,694","3,608","2,750",858,665
22,Baroda,Working professional,No,Male,Graduation,BDQ,Android,Gujarat,Western,183,150,22.3072,73.1812,459,279,517,61,854,348,738,578,"2,518","1,830",688,"1,202"
24,Mumbai,Working professional,No,Female,Graduation,BOM,iOs,Maharashtra,Western,"2,440",259,18.987807,72.836447,367,278,"1,944",215,498,578,645,"2,159","3,880","2,809","1,071","1,076"
25,Baroda,Working professional,No,Male,Post graduation,BDQ,Android,Gujarat,Western,508,25,22.3072,73.1812,355,278,368,215,815,186,633,583,"2,217","1,538",679,"1,001"
48,Bagdogra,Sabbatical,No,Female,Graduation,IXB,Android,West Bengal,Eastern,0,0,26.6986,88.3117,427,276,0,0,329,137,703,0,"1,169",756,413,466
30,Bengaluru,Working professional,No,Male,Graduation,BLR,Android,Karnataka,Southern,0,0,12.977063,77.587106,538,268,0,0,663,325,806,0,"1,794","1,201",593,988
23,Hyderabad,Student,No,Male,Graduation,HYD,iOs,Telangana,Southern,"1,863",82,17.384052,78.456355,643,265,"1,109",329,430,116,908,"1,438","2,892","2,182",710,546
23,Delhi,Working professional,No,Male,Graduation,DEL,Android,Delhi,Northern,453,126,28.651952,77.231495,780,260,500,200,"2,520",720,"1,040",700,"4,980","3,800","1,180","3,240"
29,Bengaluru,Working professional,No,Male,Graduation,BLR,Android,Karnataka,Southern,0,0,12.977063,77.587106,388,258,0,0,461,240,646,0,"1,347",849,498,701
27,Bengaluru,Working professional,No,Female,Graduation,BLR,Android,Karnataka,Southern,273,98,12.977063,77.587106,479,257,440,240,675,377,736,680,"2,468","1,594",874,"1,052"
65,Jaipur,Sabbatical,No,Male,High School,JAI,Android,Rajasthan,Northern,0,0,26.913312,75.787872,667,254,0,0,985,203,921,0,"2,109","1,652",457,"1,188"
23,Nagpur,Working professional,No,Female,Graduation,NAG,iOs,MAHARASHTRA,Western,297,20,21.1458004,79.0881546,500,250,650,240,270,150,750,890,"2,060","1,420",640,420
50,Mumbai,Sabbatical,No,Female,Graduation,BOM,Android,Maharashtra,Western,250,16,18.987807,72.836447,400,250,100,40,600,240,650,140,"1,630","1,100",530,840
21,Ahmedabad,Student,No,Male,Graduation,AMD,Android,Gujarat,Western,0,0,23.025793,72.587265,700,250,0,0,"1,000",200,950,0,"2,150","1,700",450,"1,200"
26,Ahmedabad,Student,No,Female,Post graduation,AMD,Android,Gujarat,Western,0,0,23.025793,72.587265,500,250,0,0,100,50,750,0,900,600,300,150
47,DehraDun,Working professional,No,Male,Post graduation,DED,Android,Uttarakhand,Northern,0,0,30.324427,78.033922,684,249,0,0,539,126,933,0,"1,598","1,223",375,665
30,Mumbai,Working professional,No,Male,Post graduation,BOM,Android,Maharashtra,Western,175,81,18.987807,72.836447,323,248,447,486,700,300,571,933,"2,504","1,470","1,034","1,000"
20,Patna,Student,No,Female,Graduation,PAT,Android,Bihar,Eastern,378,57,25.615379,85.101027,335,247,450,600,"3,600","1,080",582,"1,050","6,312","4,385","1,927","4,680"
26,Mumbai,Working professional,No,Male,Graduation,BOM,Android,Maharashtra,Western,"1,029","1,578",18.987807,72.836447,410,245,580,360,918,480,655,940,"2,993","1,908","1,085","1,398"
34,Lucknow,Working professional,No,Female,Graduation,LKO,Android,Uttar Pradesh,Northern,166,7,26.839281,80.923133,579,245,125,34,937,334,824,159,"2,254","1,641",613,"1,271"
26,Kolkata,Student,Yes,Male,Post graduation,CCU,Android,West Bengal,Eastern,388,55,22.562627,88.363044,450,240,600,720,"2,400",180,690,"1,320","4,590","3,450","1,140","2,580"
43,Bengaluru,Working professional,No,Male,Graduation,BLR,Android,Karnataka,Southern,325,47,12.977063,77.587106,"2,452",240,832,600,"3,260",960,"2,692","1,432","8,344","6,544","1,800","4,220"
31,Chennai,Working professional,No,Male,Post graduation,MAA,Android,Tamil Nadu,Southern,793,233,13.084622,80.248357,300,240,"2,500",600,"1,500",600,540,"3,100","5,740","4,300","1,440","2,100"
25,Chandigarh,Working professional,No,Female,Graduation,IXC,Android,Chandigarh,Northern,374,78,30.736292,76.788398,540,240,900,590,670,380,780,"1,490","3,320","2,110","1,210","1,050"
29,Delhi,Working professional,No,Male,Graduation,DEL,Android,Delhi,Northern,177,29,28.651952,77.231495,120,240,300,540,600,60,360,840,"1,860","1,020",840,660
25,DehraDun,Working professional,No,Male,Post graduation,DED,Android,Uttarakhand,Northern,340,40,30.324427,78.033922,840,240,"1,200",400,"2,400",600,"1,080","1,600","5,680","4,440","1,240","3,000"
25,Bengaluru,Working professional,No,Female,Graduation,BLR,iOs,Karnataka,Southern,144,16,12.977063,77.587106,600,240,600,240,"1,800",600,840,840,"4,080","3,000","1,080","2,400"
33,Guwahati,Working professional,No,Male,Graduation,GAU,Android,Assam,North-Eastern,100,5,26.176076,91.762932,"1,680",240,840,120,"2,100",300,"1,920",960,"5,280","4,620",660,"2,400"
28,Hyderabad,Working professional,Yes,Male,Post graduation,HYD,iOs,Telangana,Southern,929,233,17.384052,78.456355,780,240,360,120,660,240,"1,020",480,"2,400","1,800",600,900
20,Ahmedabad,Student,No,Male,Graduation,AMD,iOs,Gujarat,Western,400,60,23.025793,72.587265,0,240,50,120,100,0,240,170,510,150,360,100
28,Bhubaneshwar,Sabbatical,No,Female,Post graduation,BBI,iOs,Odisha,Eastern,161,2,20.272411,85.833853,600,240,150,60,450,300,840,210,"1,800","1,200",600,750
23,DehraDun,Student,No,Male,Post graduation,DED,Android,Uttarakhand,Northern,420,5,30.324427,78.033922,300,240,60,10,900,300,540,70,"1,810","1,260",550,"1,200"
58,Ranchi,Working professional,No,Male,Post graduation,IXR,iOs,Jharkhand,Eastern,3,0,23.347768,85.338564,434,240,15,10,182,62,674,25,943,631,312,244
28,Mumbai,Working professional,No,Male,Post graduation,BOM,Android,Maharashtra,Western,300,4,18.987807,72.836447,240,240,30,10,30,30,480,40,580,300,280,60
25,Guwahati,Sabbatical,No,Female,Graduation,GAU,Android,Assam,North-Eastern,0,0,26.176076,91.762932,840,240,0,0,420,120,"1,080",0,"1,620","1,260",360,540
51,Nagpur,Working professional,No,Female,Post graduation,NAG,Android,MAHARASHTRA,Western,0,0,21.1458004,79.0881546,600,240,0,0,900,120,840,0,"1,860","1,500",360,"1,020"
26,Hyderabad,Working professional,No,Male,Graduation,HYD,Android,Telangana,Southern,199,0,17.384052,78.456355,300,240,0,0,75,120,540,0,735,375,360,195
28,Delhi,Student,No,Male,Post graduation,DEL,Android,Delhi,Northern,429,87,28.651952,77.231495,790,238,"1,332",376,"3,760",843,"1,028","1,708","7,339","5,882","1,457","4,603"
19,Bengaluru,Student,Yes,Female,High School,BLR,Android,Karnataka,Southern,"1,673",112,12.977063,77.587106,387,234,"1,289",670,472,286,621,"1,959","3,338","2,148","1,190",758
24,Surat,Working professional,Yes,Female,Graduation,STV,iOs,Gujarat,Western,"1,536",245,21.195944,72.830232,459,231,670,246,456,58,690,916,"2,120","1,585",535,514
59,Mumbai,Sabbatical,No,Male,Graduation,BOM,Android,Maharashtra,Western,59,0,18.987807,72.836447,548,230,0,0,227,107,778,0,"1,112",775,337,334
56,Mumbai,Working professional,No,Male,Post graduation,BOM,Android,Maharashtra,Western,378,4,18.987807,72.836447,"1,013",225,75,26,853,186,"1,238",101,"2,378","1,941",437,"1,039"
45,Chandigarh,Sabbatical,No,Female,Graduation,IXC,Android,Chandigarh,Northern,346,15,30.736292,76.788398,450,220,460,215,715,460,670,675,"2,520","1,625",895,"1,175"
27,Kolkata,Working professional,No,Male,Post graduation,CCU,Android,West Bengal,Eastern,500,85,22.562627,88.363044,300,220,200,150,400,300,520,350,"1,570",900,670,700
45,Delhi,Sabbatical,No,Female,High School,DEL,Android,Delhi,Northern,0,0,28.651952,77.231495,470,220,0,0,120,40,690,0,850,590,260,160
55,Delhi,Working professional,No,Male,Graduation,DEL,iOs,Delhi,Northern,0,0,28.651952,77.231495,753,217,0,0,407,212,970,0,"1,589","1,160",429,619
32,Aurangabad,Working professional,Yes,Male,Post graduation,IXU,Android,Maharashtra,Western,656,82,19.880943,75.346739,449,212,245,128,720,260,661,373,"2,014","1,414",600,980
25,Mumbai,Student,No,Female,Post graduation,BOM,Android,Maharashtra,Western,370,211,18.987807,72.836447,432,211,567,321,887,223,643,888,"2,641","1,886",755,"1,110"
22,Kanpur,Student,Yes,Female,High School,KNU,Others,UTTAR PRADESH,Northern,550,75,26.449923,80.3318736,500,210,"1,400",360,"1,000",340,710,"1,760","3,810","2,900",910,"1,340"
